글자,초성,속성,중성,프레임,종성,분류,효과,상태,비고
구,ㄱ,목,ㅜ,음·광역,무,방벽,"덩굴 광역 결계 — 언제든 시전, 잠시 잔존. 패링 판정·보상 없음",LOCKED,
국,ㄱ,목,ㅜ,음·광역,ㄱ,필드,나무가 발밑에서 솟아올라 위로 오른다(수직 이동). 비전투 전용,LOCKED,게이트 배치=LDB
군,ㄱ,목,ㅜ,음·광역,ㄴ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
굼,ㄱ,목,ㅜ,음·광역,ㅁ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
굿,ㄱ,목,ㅜ,음·광역,ㅅ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
궁,ㄱ,목,ㅜ,음·광역,ㅇ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
나,ㄴ,화,ㅏ,양·단일,무,공격,단일 대상에 불덩이 투사(표준 탄속·위력 기준선),LOCKED,
낙,ㄴ,화,ㅏ,양·단일,ㄱ,공격,적중 대상에 뿌리박힌 화염 — 지속 피해,LOCKED,
난,ㄴ,화,ㅏ,양·단일,ㄴ,공격,순수 대화력 — 부가 효과 없이 최대 위력의 한 방(타오름의 극치),LOCKED,
남,ㄴ,화,ㅏ,양·단일,ㅁ,상합 설치,불씨 설치를 적 1체에 발사·부착(C4식). 부착 후 공격 진 명중 시 격발 — 큰 그로기+속성 피해(임시처리 TEST),LOCKED,
낫,ㄴ,화,ㅏ,양·단일,ㅅ,공격,명중 후 초승달 화염 두 줄기가 부채꼴로 갈라져 나감(2차 참격 — 새 몸=화),LOCKED,
낭,ㄴ,화,ㅏ,양·단일,ㅇ,공격,"파고드는 열 — 방어력 무시 피해(강과 같은 짓·다른 몸, 잠정 유지)",LOCKED,
너,ㄴ,화,ㅓ,음·단일,무,패링,화막으로 받아침 — 상극 초성+ㅓ 완성형(판정·보상=Combat 3장). 완성=잔존 방어막(앞 구간 패링 판정·뒤 구간 일반 경감 — 창·수치=Combat 3장),LOCKED,
넉,ㄴ,화,ㅓ,음·단일,ㄱ,버프,근접한 적에게 지속 피해 오라,LOCKED,
넌,ㄴ,화,ㅓ,음·단일,ㄴ,버프,다음 한 번의 공격 대폭 증폭(동기),LOCKED,
넘,ㄴ,화,ㅓ,음·단일,ㅁ,버프,부동심 — 지속 중 피격이 작도를 끊지 못함(피해는 받음),LOCKED,
넛,ㄴ,화,ㅓ,음·단일,ㅅ,버프,화검 변신(검 공통 스펙),LOCKED,
넝,ㄴ,화,ㅓ,음·단일,ㅇ,버프,화 잔탄 동반,LOCKED,
노,ㄴ,화,ㅗ,양·광역,무,공격,지정 영역에 화염 방사(즉발),LOCKED,
녹,ㄴ,화,ㅗ,양·광역,ㄱ,공격,광역 화염 + 적 명중 지점에서 회복존 분출(플레이어 진입 시 HP 회복). 허공 시전 시 회복존 없음,LOCKED,
논,ㄴ,화,ㅗ,양·광역,ㄴ,공격,역화 — 방사 끝점에서 크게 터지는 이단 구조,LOCKED,
놈,ㄴ,화,ㅗ,양·광역,ㅁ,소환,불꽃 짐승 소환수를 빚어 세움(재질=초성). 그로기 미축적·어그로 없음,LOCKED,개별 형태·행동·상한·지속 [TBD]
놋,ㄴ,화,ㅗ,양·광역,ㅅ,공격,갑주 녹이기 — 훑인 전원 방어력 감소(맛의 광역 짝),LOCKED,
농,ㄴ,화,ㅗ,양·광역,ㅇ,공격,"수증기 장막 — 방사 자리에 김 잔존, 안의 적 명중률 감소",LOCKED,
누,ㄴ,화,ㅜ,음·광역,무,방벽,"화막 광역 결계 — 언제든 시전, 잠시 잔존. 패링 판정·보상 없음",LOCKED,
눅,ㄴ,화,ㅜ,음·광역,ㄱ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
눈,ㄴ,화,ㅜ,음·광역,ㄴ,필드,덩굴을 불로 태워 길을 연다. 비전투 전용,LOCKED,게이트 배치=LDB
눔,ㄴ,화,ㅜ,음·광역,ㅁ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
눗,ㄴ,화,ㅜ,음·광역,ㅅ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
눙,ㄴ,화,ㅜ,음·광역,ㅇ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
마,ㅁ,토,ㅏ,양·단일,무,공격,단일 대상에 포물선 바위(최고 단발 위력·조준 난도 높음),LOCKED,
막,ㅁ,토,ㅏ,양·단일,ㄱ,공격,낙하 지점에 바위가 뿌리내려 엄폐물로 잔존,LOCKED,
만,ㅁ,토,ㅏ,양·단일,ㄴ,공격,착탄 시 소범위 폭발(화산탄 — 포물선 조준의 보상),LOCKED,
맘,ㅁ,토,ㅏ,양·단일,ㅁ,상합 설치,토진 설치를 적 1체에 발사·부착(C4식). 부착 후 공격 진 명중 시 격발 — 큰 그로기+속성 피해(임시처리 TEST),LOCKED,
맛,ㅁ,토,ㅏ,양·단일,ㅅ,공격,갑주 파쇄 — 명중 대상 방어력 감소(중장갑 카운터),LOCKED,
망,ㅁ,토,ㅏ,양·단일,ㅇ,공격,물수제비 — 착탄 후 한 번 더 앞으로 튀어 두 번째 지점 타격(전진 이단),LOCKED,
머,ㅁ,토,ㅓ,음·단일,무,패링,토벽으로 받아침 — 상극 초성+ㅓ 완성형(판정·보상=Combat 3장). 완성=잔존 방어막(앞 구간 패링 판정·뒤 구간 일반 경감 — 창·수치=Combat 3장),LOCKED,
먹,ㅁ,토,ㅓ,음·단일,ㄱ,버프,원거리 공격 피해 약한 경감 지속,LOCKED,
먼,ㅁ,토,ㅓ,음·단일,ㄴ,버프,달궈진 석순 돌갑주 — 근접 공격한 적에게 반사 피해,LOCKED,
멈,ㅁ,토,ㅓ,음·단일,ㅁ,버프,근접 공격한 적에게 둔화 부여(동기),LOCKED,
멋,ㅁ,토,ㅓ,음·단일,ㅅ,버프,토검 변신(검 공통 스펙),LOCKED,
멍,ㅁ,토,ㅓ,음·단일,ㅇ,버프,토 잔탄 동반,LOCKED,
모,ㅁ,토,ㅗ,양·광역,무,공격,직선 경로 모래폭풍(즉발),LOCKED,
목,ㅁ,토,ㅗ,양·광역,ㄱ,공격,폭풍 경로에 석순이 시간차로 솟아 2차 타격,LOCKED,
몬,ㅁ,토,ㅗ,양·광역,ㄴ,공격,훑인 전원에 받는 피해 증가 낙인(광역 마킹),LOCKED,
몸,ㅁ,토,ㅗ,양·광역,ㅁ,소환,바위·흙 거인 소환수를 빚어 세움(재질=초성). 그로기 미축적·어그로 없음,LOCKED,개별 형태·행동·상한·지속 [TBD]
못,ㅁ,토,ㅗ,양·광역,ㅅ,공격,모래 진동 — 훑인 적들의 다음 공격 1회 무딤,LOCKED,
몽,ㅁ,토,ㅗ,양·광역,ㅇ,공격,"흙탕 안개 — 경로에 잔존, 안의 적 명중률 감소(농과 같은 짓·다른 몸, 잠정 유지)",LOCKED,
무,ㅁ,토,ㅜ,음·광역,무,방벽,"토벽 광역 결계 — 언제든 시전, 잠시 잔존. 패링 판정·보상 없음",LOCKED,
묵,ㅁ,토,ㅜ,음·광역,ㄱ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
문,ㅁ,토,ㅜ,음·광역,ㄴ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
뭄,ㅁ,토,ㅜ,음·광역,ㅁ,필드,땅을 생성해 다리를 만든다. 비전투 전용(최후 어휘),LOCKED,게이트 배치=LDB
뭇,ㅁ,토,ㅜ,음·광역,ㅅ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
뭉,ㅁ,토,ㅜ,음·광역,ㅇ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
사,ㅅ,금,ㅏ,양·단일,무,공격,단일 대상에 즉발급 송곳(최속·저위력),LOCKED,
삭,ㅅ,금,ㅏ,양·단일,ㄱ,공격,일자 관통 — 경로상 뒤의 적까지 피해,LOCKED,
산,ㅅ,금,ㅏ,양·단일,ㄴ,공격,낙인 침 — 찍힌 대상이 짧게 받는 피해 증가(최속 마킹),LOCKED,
삼,ㅅ,금,ㅏ,양·단일,ㅁ,상합 설치,쇳가시 설치를 적 1체에 발사·부착(C4식). 부착 후 공격 진 명중 시 격발 — 큰 그로기+속성 피해(임시처리 TEST),LOCKED,
삿,ㅅ,금,ㅏ,양·단일,ㅅ,공격,막을 수 없는 찌르기 — 가드·방벽·반사 자세를 무시하고 꽂힘(곧음의 극치),LOCKED,
상,ㅅ,금,ㅏ,양·단일,ㅇ,공격,얼리는 침 — 날아오는 적 투사체를 맞혀 얼려 떨어뜨림(요격),LOCKED,
서,ㅅ,금,ㅓ,음·단일,무,패링,금강 방벽으로 받아침 — 상극 초성+ㅓ 완성형(판정·보상=Combat 3장). 완성=잔존 방어막(앞 구간 패링 판정·뒤 구간 일반 경감 — 창·수치=Combat 3장),LOCKED,
석,ㅅ,금,ㅓ,음·단일,ㄱ,버프,작도 감쇠 여유 증가 지속(모드 체류 페널티 둔화),LOCKED,
선,ㅅ,금,ㅓ,음·단일,ㄴ,버프,투사체 속도 증가,LOCKED,
섬,ㅅ,금,ㅓ,음·단일,ㅁ,버프,"심안 — 적 속성 가독 강화, 적 투사체 궤적이 잘 읽힘",LOCKED,
섯,ㅅ,금,ㅓ,음·단일,ㅅ,버프,금검 변신(검 공통 스펙 — 동기),LOCKED,
성,ㅅ,금,ㅓ,음·단일,ㅇ,버프,금 잔탄 동반,LOCKED,
소,ㅅ,금,ㅗ,양·광역,무,공격,다연발 송곳 속사(즉발),LOCKED,
속,ㅅ,금,ㅗ,양·광역,ㄱ,공격,명중한 송곳이 튕겨 다른 표적으로 재발사(도탄 확산),LOCKED,
손,ㅅ,금,ㅗ,양·광역,ㄴ,공격,총신 가열 — 연속 시전마다 다음 속사 위력 증가(자기 스택),LOCKED,
솜,ㅅ,금,ㅗ,양·광역,ㅁ,소환,강철 짐승 소환수를 빚어 세움(재질=초성). 그로기 미축적·어그로 없음,LOCKED,개별 형태·행동·상한·지속 [TBD]
솟,ㅅ,금,ㅗ,양·광역,ㅅ,공격,갈수록 예리 — 한 시전 안에서 뒤 탄일수록 위력 증가(벼림의 극치),LOCKED,
송,ㅅ,금,ㅗ,양·광역,ㅇ,공격,요격 탄막 — 적 투사체 여럿을 얼려 일제 격추(상의 광역 짝),LOCKED,
수,ㅅ,금,ㅜ,음·광역,무,방벽,"금강 광역 결계 — 언제든 시전, 잠시 잔존. 패링 판정·보상 없음",LOCKED,
숙,ㅅ,금,ㅜ,음·광역,ㄱ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
순,ㅅ,금,ㅜ,음·광역,ㄴ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
숨,ㅅ,금,ㅜ,음·광역,ㅁ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
숫,ㅅ,금,ㅜ,음·광역,ㅅ,필드,큰 바위를 잘라 길을 연다. 비전투 전용,LOCKED,게이트 배치=LDB
숭,ㅅ,금,ㅜ,음·광역,ㅇ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
아,ㅇ,수,ㅏ,양·단일,무,공격,단일 대상에 느린 유도탄(각도 한계 내 비행 추적),LOCKED,
악,ㅇ,수,ㅏ,양·단일,ㄱ,공격,명중 후 튕겨 되돌아와 같은 대상 재타격,LOCKED,
안,ㅇ,수,ㅏ,양·단일,ㄴ,공격,명중 시 작은 물방울들로 갈라져 주변 적을 각자 추적(번짐 — 새 몸은 물 유지),LOCKED,
암,ㅇ,수,ㅏ,양·단일,ㅁ,상합 설치,서릿발 설치를 적 1체에 발사·부착(C4식). 부착 후 공격 진 명중 시 격발 — 큰 그로기+속성 피해(임시처리 TEST),LOCKED,
앗,ㅇ,수,ㅏ,양·단일,ㅅ,공격,고드름 — 단일 얼림(행동 불가). 첫 피격에 깨지며 추가 피해 + 해제. 보스는 각 선례 준용 [TBD],LOCKED,
앙,ㅇ,수,ㅏ,양·단일,ㅇ,공격,순환탄 — 명중 후 되돌아오며 먹 소폭 환급 + 체력 소폭 회복(동기 — 순환의 극치),LOCKED,
어,ㅇ,수,ㅓ,음·단일,무,패링,수막으로 받아침 — 상극 초성+ㅓ 완성형(판정·보상=Combat 3장). 완성=잔존 방어막(앞 구간 패링 판정·뒤 구간 일반 경감 — 창·수치=Combat 3장),LOCKED,
억,ㅇ,수,ㅓ,음·단일,ㄱ,버프,술식 먹 비용 감소 지속,LOCKED,
언,ㅇ,수,ㅓ,음·단일,ㄴ,버프,옮겨붙는 불 — 직전과 다른 속성의 술식일 때 비용 할인(연쇄 장려),LOCKED,
엄,ㅇ,수,ㅓ,음·단일,ㅁ,버프,먹 최대치 일시 확장 — 종료 시 초과분은 서서히 줄어드는 비축으로,LOCKED,
엇,ㅇ,수,ㅓ,음·단일,ㅅ,버프,수검 변신(검 공통 스펙),LOCKED,
엉,ㅇ,수,ㅓ,음·단일,ㅇ,버프,수 잔탄 동반(동기),LOCKED,
오,ㅇ,수,ㅗ,양·광역,무,공격,전진하는 느린 파도(즉발·경로 타격),LOCKED,
옥,ㅇ,수,ㅗ,양·광역,ㄱ,공격,파도가 끝까지 갔다가 되돌아오며 2회 타격(조수 왕복),LOCKED,
온,ㅇ,수,ㅗ,양·광역,ㄴ,공격,경로상 적 장판·잔존물을 지우며 전진(정화 — 씻어 태움),LOCKED,
옴,ㅇ,수,ㅗ,양·광역,ㅁ,소환,물 짐승 소환수를 빚어 세움(재질=초성). 그로기 미축적·어그로 없음,LOCKED,개별 형태·행동·상한·지속 [TBD]
옷,ㅇ,수,ㅗ,양·광역,ㅅ,공격,식히는 물살 — 훑인 전원 공격력 잠시 감소(앗의 광역 짝),LOCKED,
옹,ㅇ,수,ㅗ,양·광역,ㅇ,공격,"가라앉히는 큰물 — 훑인 전원 잠시 굼뜨게, 공중의 적은 끌어내림(동기 — 깊음·낮춤)",LOCKED,
우,ㅇ,수,ㅜ,음·광역,무,방벽,"수막 광역 결계 — 언제든 시전, 잠시 잔존. 패링 판정·보상 없음",LOCKED,
욱,ㅇ,수,ㅜ,음·광역,ㄱ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
운,ㅇ,수,ㅜ,음·광역,ㄴ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
움,ㅇ,수,ㅜ,음·광역,ㅁ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
웃,ㅇ,수,ㅜ,음·광역,ㅅ,공백,미배정 — 의도적 공백(필드 5자 제한),LOCKED,재배정은 개정 절차로(DECISIONS)
웅,ㅇ,수,ㅜ,음·광역,ㅇ,필드,오염을 정화한다. 비전투 전용,LOCKED,게이트 배치=LDB
